X,Y,Z,RowColumn,Channel,Ch_num,Patch
0.027148711499651493,0.10573879550041188,2.5968759227912065e-06,R1C8,UNI 01,1,1
0.027055773361834977,0.10572671228954857,0.0087475134229489,R2C8,UNI 02,2,1
0.02707251807147432,0.10564453857638334,0.017510741442454895,R3C8,UNI 03,3,1
0.02750251583604204,0.10558830166124916,0.026382301967350415,R4C8,UNI 04,4,1
0.020557832129515473,0.09951680655873711,9.82918201369258e-07,R1C7,UNI 05,5,1
0.020361978820233044,0.09931325839054654,0.008749404620017552,R2C7,UNI 06,6,1
0.020199076529944245,0.09911108581407656,0.01750155616241796,R3C7,UNI 07,7,1
0.020241525007509184,0.09872095728509611,0.026300417008955697,R4C7,UNI 08,8,1
0.016410561005866686,0.09189919968566666,0.0,R1C6,UNI 09,9,1
0.016318343474895247,0.09143100377520634,0.008747557311624602,R2C6,UNI 10,10,1
0.016231782002134456,0.09095884275470176,0.017499548189732324,R3C6,UNI 11,11,1
0.016439345730119154,0.09039402925486192,0.02625242604257853,R4C6,UNI 12,12,1
0.015470000000000001,0.08347,0.0,R1C5,UNI 13,13,1
0.0169125709169865,0.07721962392552277,2.04876404250311e-06,R1C4,UNI 14,14,1
0.019858244754640455,0.07148898380531817,2.640954482910841e-05,R1C3,UNI 15,15,1
0.024355325585115672,0.06574465781156077,3.63920848295769e-05,R1C2,UNI 16,16,1
0.031995120315610664,0.06084032084162841,5.3985569230740844e-05,R1C1,UNI 17,17,1
0.015548662190919174,0.08296,0.00874538475513165,R2C5,UNI 18,18,1
0.017073652730915892,0.07676745094168122,0.008742206448000386,R2C4,UNI 19,19,1
0.02000988760878413,0.07102407825233585,0.008751425985769067,R2C3,UNI 20,20,1
0.02455802534520919,0.06524469201187584,0.008757769328993519,R2C2,UNI 21,21,1
0.03218259371470319,0.060312542567966906,0.008786601474020812,R2C1,UNI 22,22,1
0.015700317384342244,0.08254315694960694,0.017496229361563535,R3C5,UNI 23,23,1
0.01726196229225159,0.07632661810781774,0.017491734116813203,R3C4,UNI 24,24,1
0.02022001627419854,0.07062569615968906,0.01750136226125261,R3C3,UNI 25,25,1
0.02480082895212022,0.06486416228545355,0.017507428686180496,R3C2,UNI 26,26,1
0.0323540725211649,0.05980088469603412,0.017522812369220115,R3C1,UNI 27,27,1
0.015917723980811302,0.0820137843988952,0.026243827876473398,R4C5,UNI 28,28,1
0.017459368687588985,0.07595458606930565,0.02624231378266192,R4C4,UNI 29,29,1
0.020430144939612947,0.07022731406704226,0.026251298536736155,R4C3,UNI 30,30,1
0.025043632559031248,0.06448363255903125,0.02625708804336747,R4C2,UNI 31,31,1
0.03253959185084644,0.05929123133061874,0.02625948327046852,R4C1,UNI 32,32,1
0.06601995471210077,0.06369544827902783,0.02625203531608443,R5C1,UNI 33,33,2
0.07363152100889958,0.06922599719832132,0.02624998851096078,R5C2,UNI 34,34,2
0.07891881887564281,0.07523130250993455,0.026265800453962967,R5C3,UNI 35,35,2
0.08146185671054458,0.08165578582236387,0.02627951837603601,R5C4,UNI 36,36,2
0.08246670199422447,0.08818107289406761,0.026364166576954624,R5C5,UNI 37,37,2
0.06659516686944825,0.06414618607480636,0.01750346918501822,R6C1,UNI 38,38,2
0.07407508482511532,0.06968441846063414,0.017507314294348156,R6C2,UNI 39,39,2
0.07934085970798664,0.07563183950631476,0.01747746051106232,R6C3,UNI 40,40,2
0.08161719432750363,0.08197073059063782,0.017473592063395594,R6C4,UNI 41,41,2
0.08292121892432402,0.08857000000000001,0.01746281896024311,R6C5,UNI 42,42,2
0.06702498658475416,0.06480668846644118,0.00879098000143095,R7C1,UNI 43,43,2
0.0741615129088111,0.07047070931341114,0.008797864298916354,R7C2,UNI 44,44,2
0.07924288543152697,0.07635735654360298,0.008776283401437086,R7C3,UNI 45,45,2
0.0813799506279035,0.0824554290096908,0.008759471650185424,R7C4,UNI 46,46,2
0.08265377127472849,0.0887721492319897,0.008737164813483212,R7C5,UNI 47,47,2
0.06731136930125547,0.06563294604811681,7.897391743534547e-05,R8C1,UNI 48,48,2
0.07425276195922666,0.07126723804077337,8.558593663405829e-05,R8C2,UNI 49,49,2
0.07914491115506732,0.07708287358089123,7.510629181185171e-05,R8C3,UNI 50,50,2
0.08110308643002767,0.08291422839249307,5.292997536912949e-05,R8C4,UNI 51,51,2
0.08237368055704553,0.08920605324049244,3.061292983383084e-05,R8C5,UNI 52,52,2
0.08170504762908717,0.09587267619248413,0.026327932215097098,R5C6,UNI 53,53,2
0.08193564223480203,0.09609603707800968,0.017499198304734412,R6C6,UNI 54,54,2
0.081856723064722,0.09635256683516663,0.008748968200874665,R7C6,UNI 55,55,2
0.08175300556301965,0.09655660111260393,6.238690128535941e-06,R8C6,UNI 56,56,2
0.0772939190542111,0.10446866878892838,0.026371975293495324,R5C7,UNI 57,57,2
0.07800910042968143,0.1046792931947497,0.017546704866010447,R6C7,UNI 58,58,2
0.07852650814173558,0.10482844258858473,0.0087526622836262,R7C7,UNI 59,59,2
0.07870856178675731,0.10497428089337867,0.0,R8C7,UNI 60,60,2
0.06709749666295037,0.1097491477567187,0.02637671149218917,R5C8,UNI 61,61,2
0.06808626978033142,0.11025134890165718,0.01759335541997788,R6C8,UNI 62,62,2
0.06906410621599221,0.11037310772464654,0.008774843118077828,R7C8,UNI 63,63,2
0.06979771263500842,0.11048325764043841,0.0,R8C8,UNI 64,64,2
0.032956165563564246,0.0977615396109427,0.1226621124871907,R1C8,UNI 01,1,3
0.034113259240229225,0.09590535806909478,0.14009516735852867,R2C8,UNI 02,2,3
0.03469180607856171,0.09497726729817083,0.14881169479419767,R3C8,UNI 03,3,3
0.035360000000002195,0.09383999999999942,0.15750000000000003,R4C8,UNI 04,4,3
0.02471786423200033,0.09091897511400795,0.12251829172763007,R1C7,UNI 05,5,3
0.025677959227330047,0.08937791615931179,0.1399792037912514,R2C7,UNI 06,6,3
0.026158492956717863,0.088606296758173,0.14870946661631204,R3C7,UNI 07,7,3
0.026625633864455982,0.08773980274909843,0.15742213786090478,R4C7,UNI 08,8,3
0.020012426626244497,0.08372089860790705,0.12246383486266968,R1C6,UNI 09,9,3
0.02085115709736143,0.08239454235331758,0.13993869301229003,R2C6,UNI 10,10,3
0.02127584273403014,0.08169404991513748,0.14866968607127914,R3C6,UNI 11,11,3
0.021722144597958078,0.08101071324122516,0.157403708257142,R4C6,UNI 12,12,3
0.01868929703996021,0.07633000000000001,0.12248641415158944,R1C5,UNI 13,13,3
0.020118954454849174,0.07095681122083153,0.12249786539823847,R1C4,UNI 14,14,3
0.022793224466184037,0.06593733482930823,0.12250273327811739,R1C3,UNI 15,15,3
0.02786378402530258,0.060570577486517035,0.12250874509239143,R1C2,UNI 16,16,3
0.03570832256296977,0.05689610884601979,0.12250771697849694,R1C1,UNI 17,17,3
0.019204427740924686,0.07531000000000002,0.13998570708141195,R2C5,UNI 18,18,3
0.020633224320965742,0.07003172690533957,0.13999546745109429,R2C4,UNI 19,19,3
0.023236933130973213,0.06514388134657932,0.14000231826854923,R2C3,UNI 20,20,3
0.028389735463459954,0.059905714306301046,0.14000822559030388,R2C2,UNI 21,21,3
0.03627255234515114,0.05650720617020018,0.14000921237818595,R2C1,UNI 22,22,3
0.01946199309140692,0.0748,0.14873535354632322,R3C5,UNI 23,23,3
0.02091686732571394,0.06957397807068767,0.14874385915583557,R3C4,UNI 24,24,3
0.023458787463366906,0.06474715460521657,0.14875211076371214,R3C3,UNI 25,25,3
0.028676697630441166,0.05958060200121731,0.14875874206822556,R3C2,UNI 26,26,3
0.036535719513789096,0.056319678130892316,0.1487601871062299,R3C1,UNI 27,27,3
0.019719558441889155,0.07429000000000002,0.15748500001123447,R4C5,UNI 28,28,3
0.021199543494658184,0.06912979710873698,0.15749386555942158,R4C4,UNI 29,29,3
0.0236806482154892,0.06435043214365947,0.1575,R4C3,UNI 30,30,3
0.028923332085001863,0.05930399775300335,0.1575,R4C2,UNI 31,31,3
0.03680149561222,0.05615346050997994,0.1575,R4C1,UNI 32,32,3
0.05616669593139503,0.059245864144832724,0.1574834966313084,R5C1,UNI 33,33,4
0.0642208402063637,0.06531915979363631,0.1574428389952641,R5C2,UNI 34,34,4
0.06825473349874076,0.07239175550041975,0.1574137723873839,R5C3,UNI 35,35,4
0.06919804740922669,0.07871,0.15742646444751765,R5C4,UNI 36,36,4
0.06835764968137333,0.08436691242034335,0.15743333453877326,R5C5,UNI 37,37,4
0.05687837995038621,0.05942872874671556,0.14873643416083507,R6C1,UNI 38,38,4
0.06490066166678275,0.06552711611099503,0.1486994554620874,R6C2,UNI 39,39,4
0.0691111420988543,0.07254702670778933,0.14868613167822037,R6C3,UNI 40,40,4
0.07015243612364423,0.0789272222222222,0.1487054587895844,R6C4,UNI 41,41,4
0.06945416420806805,0.08469770771868369,0.14872438602858867,R6C5,UNI 42,42,4
0.05759006396937738,0.05961159334859839,0.13998937169036174,R7C1,UNI 43,43,4
0.06558048312720181,0.06573507242835376,0.1399560719289107,R7C2,UNI 44,44,4
0.06996503988808267,0.07273331737810028,0.13996044831491414,R7C3,UNI 45,45,4
0.07110622300026051,0.07914620575171147,0.1399846328270724,R7C4,UNI 46,46,4
0.07055067873476278,0.08502850301702403,0.14001543751840406,R7C5,UNI 47,47,4
0.059013432007359715,0.05997732255236406,0.12249524674941502,R8C1,UNI 48,48,4
0.06693128599087418,0.06618870526513768,0.12247149040722301,R8C2,UNI 49,49,4
0.0716020404606305,0.07304276658967551,0.1224962726340266,R8C3,UNI 50,50,4
0.07299064633613665,0.07957440903014372,0.12253908617497775,R8C4,UNI 51,51,4
0.07273823662279498,0.08566886739765814,0.12259507727421073,R8C5,UNI 52,52,4
0.06595394760758228,0.08918929840505474,0.15743411577467167,R5C6,UNI 53,53,4
0.06717507376512602,0.08980855949914408,0.1487447270871562,R6C6,UNI 54,54,4
0.06832912432846297,0.09034011771978706,0.14003445234538645,R7C6,UNI 55,55,4
0.07056657223138049,0.09132420215364034,0.12259475318580154,R8C6,UNI 56,56,4
0.05998726318153755,0.09444042113538074,0.15748583760870621,R5C7,UNI 57,57,4
0.06128824659014657,0.09550871540251551,0.14882604091974722,R6C7,UNI 58,58,4
0.06264558008207802,0.09653976514363652,0.14016566882211512,R7C7,UNI 59,59,4
0.06539552300703556,0.09829117990914624,0.12279216299978749,R8C7,UNI 60,60,4
0.051508125485409485,0.09532688616441842,0.15749326414505743,R5C8,UNI 61,61,4
0.052548151053319,0.09663747422633716,0.14881522374529949,R6C8,UNI 62,62,4
0.053588176621228514,0.0979480622882559,0.14013718334554154,R7C8,UNI 63,63,4
0.05559,0.10046513998436316,0.12273785773748842,R8C8,UNI 64,64,4
